,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
743,0.12360453605651855,0.0035843967265261523,0.007190704345703125,0.0001338874340114349,0.1,{1: 10},gini,13,0.7,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 13, 'max_features': 0.7, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
744,0.2743831634521484,0.008252482963028034,0.007462406158447265,0.00025603156562394795,0.1,{1: 10},gini,15,,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
745,0.11115431785583496,0.0011146755146361528,0.00713496208190918,0.00017244856535194897,0.1,{1: 10},gini,15,,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
746,0.1382957935333252,0.0036210500929784433,0.00730586051940918,0.00024334117262740583,0.1,{1: 10},gini,15,,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
747,0.15868892669677734,0.003974111827975088,0.007212591171264648,0.00019552942426230704,0.1,{1: 10},gini,15,,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
748,0.21736445426940917,0.008216303376760332,0.007428455352783203,0.00016807934230391038,0.1,{1: 10},gini,15,0.7,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 15, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
749,0.08912739753723145,0.002268644347575442,0.0075438499450683595,0.00043937558037999996,0.1,{1: 10},gini,15,0.7,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 15, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
750,0.10290141105651855,0.003181116294657728,0.007377243041992188,0.00047120498367590925,0.1,{1: 10},gini,15,0.7,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 15, 'max_features': 0.7, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
751,0.12386302947998047,0.002435446779341455,0.007099819183349609,0.0001908442302908526,0.1,{1: 10},gini,15,0.7,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 15, 'max_features': 0.7, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
752,0.30953154563903806,0.0140453592881898,0.007667684555053711,0.0009578659044404689,0.1,{1: 10},gini,20,,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
